2019-01-10 12:42:06,587 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 12:42:06,590 [Worker-8: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 12:42:06,591 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 12:42:14,363 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 12:42:14,364 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\Github Projeler Deposu\SpringMVC\SpringMVCProject\src\main\resources
2019-01-10 12:42:14,366 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 12:42:14,366 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\Github Projeler Deposu\SpringMVC\SpringMVCProject\src\test\resources
2019-01-10 15:55:59,289 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 15:55:59,291 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 15:55:59,293 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 15:55:59,294 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 15:56:08,646 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 15:56:08,648 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 15:56:08,650 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 15:56:08,651 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 15:58:15,018 [Worker-85: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Project:Project:0.0.1-SNAPSHOT @ D:\FINARTZ\SpringMVC-AJAX-Project\Project\pom.xml.
2019-01-10 15:58:15,385 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 15:58:15,385 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 15:58:15,387 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 15:58:15,388 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 15:58:15,388 [Worker-85: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Project
2019-01-10 15:58:15,389 [Worker-85: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Project
2019-01-10 15:58:15,394 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.2.11.v20150529 is missing, no dependency information available
2019-01-10 15:58:15,395 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.2.11.v20150529: Plugin org.eclipse.jetty:jetty-maven-plugin:9.2.11.v20150529 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.2.11.v20150529 has not been downloaded from it before.
2019-01-10 15:58:15,478 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:9.2.11.v20150529 is missing, no dependency information available
2019-01-10 15:58:15,481 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:9.2.11.v20150529: Plugin org.eclipse.jetty:jetty-maven-plugin:9.2.11.v20150529 or one of its dependencies could not be resolved: Cannot access central (https://repo.maven.apache.org/maven2) in offline mode and the artifact org.eclipse.jetty:jetty-maven-plugin:jar:9.2.11.v20150529 has not been downloaded from it before.
2019-01-10 15:58:15,491 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:01:35,854 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:01:35,855 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:01:35,857 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:01:35,857 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:02:00,516 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:02:00,517 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:02:00,519 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:02:00,519 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:02:20,086 [Worker-92: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:02:20,088 [Worker-92: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:02:20,091 [Worker-92: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:02:20,093 [Worker-92: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:02:30,572 [Worker-92: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:02:30,573 [Worker-92: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:02:30,574 [Worker-92: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:02:30,575 [Worker-92: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:03:32,348 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:03:32,349 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:03:32,351 [Worker-85: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:03:32,352 [Worker-85: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:04:00,706 [Worker-94: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:04:00,707 [Worker-94: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:04:00,724 [Worker-94: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:04:00,725 [Worker-94: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:05:59,383 [Worker-92: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:05:59,385 [Worker-92: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:05:59,387 [Worker-92: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:05:59,388 [Worker-92: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:06:15,069 [Worker-95: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:06:15,070 [Worker-95: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\main\resources
2019-01-10 16:06:15,071 [Worker-95: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:06:15,072 [Worker-95: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\FINARTZ\SpringMVC-AJAX-Project\Project\src\test\resources
2019-01-10 16:13:11,712 [Worker-99: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-10 16:13:11,714 [Worker-99: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\Github Projeler Deposu\SpringMVC\SpringMVCProject\src\main\resources
